,MosqueName,MosqueAddress
15,Mosquée de la Zup Association Culturelle,Av Ingnes - 89000 AUXERRE
0,Mosquée Assala,10 Rue Noël Donval - 22300 LANNION
1,Mosquée de Saint-Brieuc,4 rue de Gernugan - 22000 SAINT-BRIEUC
2,Mosquée De Guimgamp,"1, rue de Gwelan - 22200 GUINGAMP"
3,Mosquée,"23, rue Paul Serusier - 22200 GUINGAMP"
0,Mosquée Sunna,123 Rue de Gouesnou - 29200 BREST
1,Mosquée Al Madina,6 Rue Victor Pengam - 29000 BREST
2,Salle de prièreQuartier Penhars,"2, rue Ile de Man - 29000 QUIMPER"
3,Mosquée,"205, route de Douarnenez - 29000 QUIMPER"
4,Mosquée,"29, rue de Kermaria - 29200 BREST"
5,Salle de prière,Rue de Kergoat - 29200 BREST
6,Salle de prière,41 Rue Paul Borrossi - 29000 QUIMPER
0,Centre Islamique Ennour,10 rue Vézin - 35000 RENNES
1,Mosquée Ibnou Sina - Avicenne,1 rue du Recteur Paul Henry - 35000 RENNES
2,Mosquée de Saint-Malo,46 rue des antilles - 35400 SAINT-MALO
3,Mosquée,"4, rue Sainte Emerance - 35380 SAINT-PERAN"
4,Mosquée,"9, rue Julien Offray de la Mettrie - 35000 RENNES"
5,Mosquée,"9, rue du docteur Assant - 35000 RENNES"
6,Salle de prière de la Cité Universitaire de Beaulieu,"33, Av des Buttes de Cosmes - 35000 RENNES"
7,Mosquée,"27, rue Paul Cezanne - 35150 JANZE"
8,Centre culturel islamique,14 Boulevard du Portugal - 35200 RENNES
9,Mosquée Al-Amal,178B Rue de Fougères - 35700 RENNES
10,Entraide des Travailleurs Turcs,4 Rue des Bintinais - 35230 NOYAL-CHÂTILLON-SUR-SEICHE
11,Salle de prière,10 Square du Dr Fernand - 35000 RENNES
0,Mosquée Ennour (en cours de construction),7 FRANCINE DEPORTE  - 56100 LORIENT
1,La mosquée Arrayane de Vannes,"8, impasse d'armorique - 56000 VANNES"
2,Mosquée Saint-Avé,12 rue Colbert - 56000 VANNES
3,Mosquée,"12, rue Colbert - 56100 LORIENT"
4,Mosquée,"6, rue Pierrot Bonnard - 56000 VANNES"
5,Mosquée,Impasse Arsenal - 56000 VANNES
6,Mosquée,"11, allée du Clos des Chênes - 56000 VANNES"
7,Mosquée,"11, rue Auguste Renoir - 56000 VANNES"
8,Mosquée De Lanester,"34, rue Daniel Trudaine - 56600 LANESTER"
9,Mosquée,"82, rue Jean Jaurès - 56600 LANESTER"
10,Salle de prière,3 Rue G. Charpentier - 56000 LORIENT
11,Mosquée de Vannes,Allée des Glaïeuls - 56000 VANNES
12,Mosquée Nassrou Allah,201 Avenue de Verdun - 56000 VANNES
0,Mosquée de l'association culturelle marocaine,45 Rue des Lavoirs - 18400 SAINT-FLORENT-SUR-CHER
1,Mosquée,"88, avenue du 8 Mai 1945 - 18100 VIERZON"
2,Mosquée,"157, avenue du Général de Gaulle - 18000 BOURGES"
3,Mosquée,"4, rue Gerard Philippe - 18000 BOURGES"
4,Salle de prère,Place Léon Dupuis - 18400 LUNERY
5,Salle de prière,Rue Chemin de la Prairie - 18000 BOURGES
6,Mosquée ES-SUNNA,"2, rue Alfred de Musset - 18000 BOURGES"
7,Salle de prière,4 impasse de Bellevue - 18100 VIERZON
8,Mosquée Al Fath,20 Rue Jean Rameau - 18000 BOURGES
0,Mosquée Hiba D'Allah,6 rue de Bel Air  - 28100 DREUX
1,Salle de priére El feth,2 rue Élie TILLEUL - 28100 DREUX
2,Mosquée Benkhoufache,"6, chemin de bel air - 28100 DREUX"
3,Mosquée Tariq Ibnou Zyed,3 Rue Murger-Bardin - 28100 DREUX
4,Mosquée de Saint Lubin ,Rue des caves - 28250 SAINT LUBIN DES JONCHERETS
5,Mosquée de Châteaudun,4 mail de beauvoir - 28200 CHATEAUDUN
6,Mosquée de la Tabellionne - Masjid Ad-Dawatou ilaLLah,Allée de Cheddar - 28500 VERNOUILLET
7,Mosquée,rue Robert Legué - 28000 CHARTRES
8,Mosquée,"1, rue Aristide Briand - 28300 MAINVILLIERS"
9,Mosquée,"12, rue René Boisanfray - 28100 DREUX"
10,Mosquée,"24, rue de la Grande Falaise - 28100 DREUX"
11,Mosquée ER-Rahma,"9, avenue Beaulieu - 28000 CHARTRES"
12,Mosquée Assounnah,Centre commercial des Chamards - 28100 DREUX
13,Mosquée d'Auneau,1 Rue Jean Jaurès - 28700 AUNEAU
14,Mosquée de Nogent-Le-Rotrou,21 Rue Maison Maraine - 28400 NOGENT-LE-ROTROU
15,Salle de prière,1 Boulevard Albert Schweitzer - 28200 CHÂTEAUDUN
16,Mosquée de Lucé,2 Hameau du Clos Vougeot - 28110 LUCÉ
17,Mosquée ES-Sounna ,Avenue du Maréchal de Lattre de Tassigny - 28100 DREUX
18,Mosquée Omar,6 Rue André Malraux - 28100 DREUX
19,Salle de prière,41 Rue Hoche - 28100 DREUX
20,Mosquée En-Nasr,8 Rue de Brétigny - 28000 CHARTRES
0,Mosquée Ibn Abbâs,12 Rue Denis Papin - 36000 CHÂTEAUROUX
1,Salle de prière,3 Rue Michelet - 36000 CHÂTEAUROUX
0,Mosquée d'Amboise,150 bis avenue Léonard de Vinci - 37400 AMBOISE
1,Mosquée de Tours,18 Rue Lobin - 37000 TOURS
2,Mosquée anciens Combattants d'Algérie pour La France,"15, rue Gambetta - 37110 CHÂTEAU-RENAULT"
3,Mosquée de Bouzignac,Place Guido d'Arezzo - 37000 TOURS
4,Mosquée St Pierre des Corps,"71, RUE DE LA RABATTERIE - 37700 SAINT-PIERRE-DES-CORPS"
5,Mosquée Turque ,"66, RUE HENRI MARTIN  - 37000 TOURS"
6,Mosquée de Joué-Lès-Tours,Rue Léon Foucault - 37300 JOUÉ-LÈS-TOURS
7,Mosquée Salam,2 Rue Paul Sabatier - 37300 JOUÉ-LÈS-TOURS
8,Salle de prière,Allée de la Belle Fille - 37000 TOURS
0,CIMG Blois,135 rue Michel Begon - 41000 BLOIS
1,La grande mosquée de Blois,avenue de l'Europe - 41000 BLOIS
2,Mosquée at-tawba,20 rue maréchal Rochambeau - 41100 VENDÔME
3,Mosquée,"22, rue de La Tuilerie - 41100 VENDOME"
4,Mosquée Turque,4 Rue de Bellevue - 41500 MER
5,Mosquée Marocainne de Romorantin,39 rue Hubert Fillay - 41200 ROMORANTIN-LANTHENAY
