"","X","Address","lon","lat","AddressTrimmed"
"2707",21,"Mugron, Aquitaine-Limousin-Poitou-Charentes, 40250  ",-0.748762,43.751052,"Mugron, Aquitaine-Limousin-Poitou-Charentes, 40250  "
"2708",23,"Narbonne, 11100  ",3.003078,43.184277,"Narbonne, 11100  "
"2709",25,"Bayeux, Normandy, 14400  ",-0.70314,49.276437,"Bayeux, Normandy, 14400  "
"2710",27,"Chartres, Centre-Val de Loire, 28000  ",1.489012,48.443854,"Chartres, Centre-Val de Loire, 28000  "
"2711",29,"Chateauneuf sur Cher, Centre-Val de Loire, 18190  ",2.317307,46.857453,"Chateauneuf sur Cher, Centre-Val de Loire, 18190  "
"2712",31,"Chateauneuf, Centre-Val de Loire, France  ",2.219056,47.865635,"Chateauneuf, Centre-Val de Loire, France  "
"2713",33,"Chauvigny, Aquitaine-Limousin-Poitou-Charentes, 86300  ",0.6440709,46.571149,"Chauvigny, Aquitaine-Limousin-Poitou-Charentes, 86300  "
"2714",35,"Lezay, Aquitaine-Limousin-Poitou-Charentes, 79120  ",-0.011459,46.266052,"Lezay, Aquitaine-Limousin-Poitou-Charentes, 79120  "
"2715",37,"Viroflay, Île-de-France, 78220  ",2.1691875,48.8017825,"Viroflay, Île-de-France, 78220  "
"2716",39,"Dizy, 51350  ",3.96844,49.064663,"Dizy, 51350  "
"2717",41,"Dizy, 51350 AY  ",3.96844,49.064663,"Dizy, 51350 AY  "
"2718",43,"Saint Cyr Sur Loire, Centre-Val de Loire, 37540  ",0.6598074,47.4226391,"Saint Cyr Sur Loire, Centre-Val de Loire, 37540  "
"2719",45,"Clermont Ferrand, Auvergne-Rhône-Alpes, 63000  ",3.1198023,45.771264,"Clermont Ferrand, Auvergne-Rhône-Alpes, 63000  "
"2720",47,"Clermont Ferrand, Auvergne-Rhône-Alpes, 63000  ",3.1198023,45.771264,"Clermont Ferrand, Auvergne-Rhône-Alpes, 63000  "
"2721",49,"Paris, Île-de-France, 75018  ",2.3529867,48.891305,"Paris, Île-de-France, 75018  "
"2722",51,"Rueil Malmaison, Île-de-France, 92500  ",2.1771764,48.8695678,"Rueil Malmaison, Île-de-France, 92500  "
"2723",53,"Paris, 75017  ",2.2971339,48.8849754,"Paris, 75017  "
"2724",55,"Libourne, Aquitaine-Limousin-Poitou-Charentes, 33500  ",-0.243985,44.912998,"Libourne, Aquitaine-Limousin-Poitou-Charentes, 33500  "
"2725",57,"Orleans, Centre-Val de Loire, 45000  ",1.9157977,47.9108329,"Orleans, Centre-Val de Loire, 45000  "
"2726",59,"Lille, Nord-Pas-de-Calais Picardie, France  ",3.057256,50.62925,"Lille, Nord-Pas-de-Calais Picardie, France  "
"2727",61,"Hyeres,   ",6.128639,43.120541,"Hyeres,   "
"2728",63,"Beziers, Languedoc-Roussillon-Midi-Pyrénées, 34500  ",3.2580466,43.3366088,"Beziers, Languedoc-Roussillon-Midi-Pyrénées, 34500  "
"2729",65,"Calais, Nord-Pas-de-Calais-Picardie, 62100  ",1.8871508,50.9449796,"Calais, Nord-Pas-de-Calais-Picardie, 62100  "
"2730",67,"Stains, Île-de-France, 93240  ",2.381373,48.9612947,"Stains, Île-de-France, 93240  "
"2731",69,"Sisteron,   ",5.943191,44.194713,"Sisteron,   "
"2732",71,"Granges/Vologne, Alsace-Champagne-Ardenne-Lorraine, 88640  ",6.7896,48.1448139,"Granges/Vologne, Alsace-Champagne-Ardenne-Lorraine, 88640  "
